iso3,year,change_expected
AFG,2025,TRUE
AGO,2025,TRUE
AUS,2025,FALSE
BDI,2025,TRUE
BEN,2025,FALSE
BFA,2025,TRUE
BGD,2025,TRUE
BOL,2025,FALSE
BRN,2025,FALSE
BTN,2025,FALSE
CAF,2025,TRUE
CHN,2025,FALSE
CIV,2025,FALSE
CMR,2025,FALSE
COD,2025,TRUE
COG,2025,FALSE
COL,2025,TRUE
COM,2025,FALSE
CPV,2025,FALSE
ERI,2025,FALSE
ETH,2025,TRUE
FJI,2025,FALSE
GAB,2025,FALSE
GHA,2025,FALSE
GIN,2025,TRUE
GMB,2025,FALSE
GNB,2025,TRUE
GNQ,2025,FALSE
GTM,2025,FALSE
HND,2025,FALSE
HTI,2025,TRUE
IDN,2025,FALSE
IND,2025,FALSE
JAM,2025,TRUE
JPN,2025,TRUE
KEN,2025,TRUE
KHM,2025,TRUE
KOR,2025,FALSE
LAO,2025,FALSE
LBN,2025,FALSE
LBR,2025,FALSE
LKA,2025,FALSE
LSO,2025,FALSE
MDG,2025,TRUE
MDV,2025,FALSE
MLI,2025,TRUE
MMR,2025,FALSE
MNG,2025,FALSE
MOZ,2025,TRUE
MRT,2025,FALSE
MYS,2025,FALSE
NER,2025,FALSE
NGA,2025,FALSE
NPL,2025,FALSE
NZL,2025,FALSE
PAK,2025,TRUE
PAN,2025,FALSE
PER,2025,FALSE
PHL,2025,TRUE
PNG,2025,FALSE
SDN,2025,FALSE
SEN,2025,FALSE
SGP,2025,FALSE
SLE,2025,FALSE
SLV,2025,FALSE
SOM,2025,FALSE
SSD,2025,TRUE
STP,2025,FALSE
SWZ,2025,FALSE
SYC,2025,TRUE
TCD,2025,FALSE
TGO,2025,FALSE
THA,2025,FALSE
TLS,2025,FALSE
UKR,2025,TRUE
VEN,2025,FALSE
VNM,2025,TRUE
YEM,2025,FALSE
ZMB,2025,FALSE
