iso3,year,type
AFG,2025,hrp
AGO,2025,preparedness
AUS,2025,preparedness
BDI,2025,hrp
BEN,2025,preparedness
BFA,2025,hrp
BGD,2025,preparedness
BOL,2025,preparedness
BRN,2025,preparedness
BTN,2025,preparedness
CAF,2025,hrp
CHN,2025,preparedness
CIV,2025,preparedness
CMR,2025,hrp
COD,2025,hrp
COL,2025,hrp
COM,2025,preparedness
CPV,2025,preparedness
ERI,2025,preparedness
ETH,2025,hrp
FJI,2025,preparedness
GAB,2025,preparedness
GHA,2025,preparedness
GIN,2025,preparedness
GMB,2025,preparedness
GNB,2025,preparedness
GNQ,2025,preparedness
GRD,2025,fa
GTM,2025,hrp
HND,2025,hrp
HTI,2025,hrp
IDN,2025,preparedness
IND,2025,preparedness
JPN,2025,preparedness
KEN,2025,fa
KHM,2025,preparedness
KOR,2025,preparedness
LAO,2025,preparedness
LBN,2025,fa
LBR,2025,preparedness
LBY,2025,fa
LKA,2025,preparedness
LSO,2025,preparedness
MDG,2025,fa
MDV,2025,preparedness
MLI,2025,hrp
MMR,2025,hrp
MNG,2025,preparedness
MOZ,2025,hrp
MOZ,2025,fa
MOZ,2025,fa
MRT,2025,preparedness
MWI,2025,fa
MYS,2025,preparedness
NER,2025,hrp
NGA,2025,hrp
NPL,2025,preparedness
NZL,2025,preparedness
PAK,2025,preparedness
PAN,2025,preparedness
PER,2025,preparedness
PHL,2025,preparedness
PNG,2025,preparedness
PRK,2025,preparedness
PSE,2025,fa
SDN,2025,hrp
SEN,2025,preparedness
SGP,2025,preparedness
SLE,2025,preparedness
SLV,2025,hrp
SOM,2025,hrp
SSD,2025,hrp
STP,2025,preparedness
SWZ,2025,preparedness
SYC,2025,preparedness
SYR,2025,fa
TCD,2025,hrp
TGO,2025,preparedness
THA,2025,preparedness
TLS,2025,preparedness
TUR,2025,fa
UKR,2025,hrp
VCT,2025,fa
VEN,2025,hrp
VNM,2025,preparedness
YEM,2025,hrp
ZMB,2025,fa
ZWE,2025,fa
